#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
15871000-4,Vinagre; salsas; condimentos compuestos; harina y polvo de mostaza; mostaza preparada
15871100-5,Vinagre y sucedáneos del vinagre
15871110-8,Vinagre o equivalente
15871200-6,"Salsas, condimentos compuestos y sazonadores compuestos"
15871210-9,Salsa de soja
15871230-5,Ketchup
15871250-1,Mostaza
15871260-4,Salsas
15871270-7,Condimentos compuestos
15871273-8,Mayonesa
15871274-5,Productos para untar bocadillos
15871279-0,Chutney
15872000-1,Hierbas y especias
15872100-2,Pimienta
15872200-3,Especias
15872300-4,Hierbas
15872400-5,Sal
15872500-6,Jengibre
15880000-0,Productos alimenticios especiales
15881000-7,Preparaciones alimenticias homogeneizadas
15882000-4,Productos dietéticos
15884000-8,Alimentos infantiles
15890000-3,Productos alimenticios diversos y alimentos secos
15891000-0,Sopas y caldos
15891100-1,Sopas de carne
15891200-2,Sopas de pescado
15891300-3,Sopas compuestas
15891400-4,Sopas
15891410-7,Sopas instantáneas
15891500-5,Caldos
15891600-6,Concentrados de caldo
15891610-9,Caldos instantáneos
15891900-9,Sopas de verduras
15892000-7,"Jugos y extractos vegetales, sustancias pépticas y espesantes"
15892100-8,Jugos vegetales
15892200-9,Extractos vegetales
15892400-1,Espesantes
15893000-4,Productos secos
15893100-5,Mezclas para comidas
15893200-6,Mezclas para postres
15893300-7,Mezclas para salsas
15894000-1,Productos alimenticios elaborados
15894100-2,Comidas vegetarianas
15894200-3,Comidas preparadas
15894210-6,Comidas para colegios
15894220-9,Comidas para hospitales
15894300-4,Bandejas de comida preparada
15894400-5,Aperitivos
15894500-6,Productos para máquinas automáticas distribuidoras
15894600-7,Alimentos para bocadillos
15894700-8,Comestibles finos preparados
15895000-8,Productos para comida rápida
15895100-9,Hamburguesas
15896000-5,Productos congelados
15897000-2,Productos enlatados y raciones de campaña
15897100-3,Raciones de campaña
15897200-4,Productos enlatados
15897300-5,Paquetes de comida
15898000-9,Levadura
15899000-6,Polvos para hornear
15900000-7,"Bebidas, tabaco y productos relacionados"
15910000-0,Bebidas alcohólicas destiladas
15911000-7,Bebidas espirituosas
15911100-8,Aguardientes
15911200-9,Licores
15930000-6,Vinos
15931000-3,Vinos no aromatizados
15931100-4,Vino espumoso
15931200-5,Vino de mesa
15931300-6,Oporto
15931400-7,Vino de Madeira
15931500-8,Mosto de uva
15931600-9,Jerez
15932000-0,Heces de vino
15940000-9,Sidra y otros vinos a base de fruta
15941000-6,Sidra
15942000-3,Vinos a base de fruta
15950000-2,Bebidas fermentadas no destiladas
15951000-9,Vermut
15960000-5,Cerveza de malta
15961000-2,Cerveza
15961100-3,"Cerveza ""lager"""
15962000-9,Heces de cervecería o destilería
15980000-1,Bebidas sin alcohol
15981000-8,Agua mineral
15981100-9,Agua mineral sin gas
15981200-0,Agua mineral con gas
15981300-1,Agua en estado sólido
15981310-4,Hielo
15981320-7,Nieve
15981400-2,Aguas minerales aromatizadas
15982000-5,Refrescos
15982100-6,Zumos de fruta concentrados
15982200-7,Leche chocolateada
15990000-4,"Tabaco, productos de tabaco y artículos afines"
15991000-1,Productos de tabaco
15991100-2,Cigarros puros
15991200-3,Cigarros pequeños
15991300-4,Cigarrillos
15992000-8,Tabaco
15992100-9,Tabaco manufacturado
15993000-5,Artículos de estanco
15994000-2,Papel de fumar y papel de filtro
15994100-3,Papel de fumar
15994200-4,Papel de filtro
16000000-5,Maquinaria agrícola
16100000-6,"Máquinas, aparatos y artefactos agrícolas, hortícolas o silvícolas, para la preparación o el trabajo del suelo o para el cultivo"
16110000-9,Arados o gradas de disco
16120000-2,"Gradas, escarificadores, cultivadores, escardadoras o binadoras"
16130000-5,"Sembradoras, plantadoras o transplantadoras"
16140000-8,Esparcidores de estiércol
16141000-5,Distribuidores de abono
16150000-1,Rodillos para césped o terrenos de deporte
16160000-4,Equipo diverso para jardinería
16300000-8,Cosechadoras
16310000-1,Máquinas segadoras
16311000-8,Cortadoras de césped
16311100-9,"Cortadoras de césped para jardines, parques o terrenos de deporte"
16320000-4,Máquinas para henificar
16330000-7,Prensas para paja o forraje
16331000-4,Prensas recogedoras
16340000-0,Cosechadoras y trilladoras
16400000-9,Aparatos de pulverizar para la agricultura o la horticultura
16500000-0,"Remolques y semirremolques, autocargadores o autodescargadores, para usos agrícolas"
16510000-3,Remolques autocargadores para usos agrícolas
16520000-6,Remolques autodescargadores para usos agrícolas
16530000-9,Semirremolques autocargadores para usos agrícolas
16540000-2,Semirremolques autodescargadores para usos agrícolas
16600000-1,Maquinaria agrícola o forestal especializada
16610000-4,"Máquinas para la limpieza o la clasificación de huevos, frutas u otros productos agrícolas"
16611000-1,Máquinas para lavar productos agrícolas
16611100-2,Máquinas para lavar huevos
16611200-3,Máquinas para lavar frutas
16612000-8,Máquinas para seleccionar o clasificar productos agrícolas
16612100-9,Máquinas para seleccionar o clasificar huevos
16612200-0,Máquinas para seleccionar o clasificar fruta
16613000-5,"Máquinas para la limpieza o la clasificación de semillas, granos o legumbres secas"
16620000-7,Ordeñadoras
16630000-0,Máquinas para preparar alimentos para animales
16640000-3,Máquinas y aparatos para la apicultura
16650000-6,Máquinas y aparatos para la avicultura
16651000-3,"Incubadoras y criadoras, para la avicultura"
16700000-2,Tractores
16710000-5,Motocultores
16720000-8,Tractores usados
16730000-1,Motores de tracción
16800000-3,Partes de maquinaria agrícola y forestal
16810000-6,Partes de maquinaria agrícola
16820000-9,Partes de maquinaria forestal
18000000-9,"Prendas de vestir, calzado, artículos de viaje y accesorios"
18100000-0,"Ropa de trabajo, ropa de trabajo especial y accesorios"
18110000-3,Indumentaria de trabajo
18113000-4,Prendas de vestir para uso industrial
18114000-1,Monos
18130000-9,Ropa para trabajos especiales
18132000-3,Ropa de vuelo
18132100-4,Chaquetas de vuelo
18132200-5,Trajes de vuelo
18140000-2,Accesorios de ropa de trabajo
18141000-9,Guantes de trabajo
18142000-6,Viseras de seguridad
18143000-3,Indumentaria de protección
18200000-1,Ropa exterior
18210000-4,Abrigos
18211000-1,Capas
18212000-8,Capotes
18213000-5,Chaquetones cortavientos
18220000-7,Ropa para la intemperie
18221000-4,Ropa impermeable
18221100-5,Capas impermeables
18221200-6,Anoraks
18221300-7,Impermeables
18222000-1,Indumentaria corporativa
18222100-2,Trajes y vestidos
18222200-3,Conjuntos
18223000-8,Chaquetas y chaquetas deportivas
18223100-9,Chaquetas deportivas
18223200-0,Chaquetas
18224000-5,Prendas de vestir confeccionadas de tejidos impregnados o recubiertos
18230000-0,Ropa exterior diversa
18231000-7,Vestidos
18232000-4,Faldas
18233000-1,Pantalones cortos
18234000-8,Pantalones
18235000-5,"Jerseys, cárdigans y artículos similares"
18235100-6,Pullovers
18235200-7,Cárdigans
18235300-8,Chándales
18235400-9,Chalecos
18300000-2,Prendas de vestir
18310000-5,Ropa interior
18311000-2,Combinaciones
18312000-9,Calzoncillos
18313000-6,Bragas
18314000-3,Albornoces
18315000-0,Medias
18316000-7,Leotardos
18317000-4,Calcetines
18318000-1,Ropa de dormir
18318100-2,Camisas de dormir
18318200-3,Batas
18318300-4,Pijamas
18318400-5,Camisetas de punto
18318500-6,Camisones
18320000-8,"Sostenes, corsés, ligas y prendas similares"
18321000-5,Sostenes
18322000-2,Corsés
18323000-9,Ligas
18330000-1,Camisetas y camisas
18331000-8,Camisetas
18332000-5,Camisas
18333000-2,Polos
18400000-3,Prendas de vestir y accesorios especiales
18410000-6,Prendas de vestir especiales
18411000-3,Prendas para bebés
18412000-0,Ropa deportiva
18412100-1,Prendas para el entrenamiento deportivo
18412200-2,Camisas de deporte
18412300-3,Trajes de esquí
18412800-8,Trajes y pantalones de baño
18420000-9,Complementos de vestir
18421000-6,Pañuelos
18422000-3,Bufandas
18423000-0,Corbatas
18424000-7,Guantes
18424300-0,Guantes desechables
18424400-1,Manoplas
18424500-2,Guanteletes
18425000-4,Cinturones
18425100-5,Bandoleras
18440000-5,Sombreros y tocados
18441000-2,Sombreros
18443000-6,Artículos y complementos de sombrerería
18443100-7,Bandas antisudor
18443300-9,Artículos de sombrerería
18443310-2,Boinas
18443320-5,Gorras de campo
18443330-8,Capuchas
18443340-1,Gorras
18443400-0,Barboquejos para sombrerería
18443500-1,Viseras
18444000-3,Tocados de protección
18444100-4,Tocados de seguridad
18444110-7,Cascos
18444111-4,Cascos de protección
18444112-1,Cascos de ciclista
18444200-5,Cascos de seguridad
18450000-8,Cierres para prendas de vestir
18451000-5,Botones
18451100-6,Partes de botones
18452000-2,Imperdibles
18453000-9,Cremalleras
18500000-4,"Joyas, relojes y artículos conexos"
18510000-7,Joyas y artículos conexos
18511000-4,Piedras preciosas para joyería
18511100-5,Diamantes
18511200-6,Rubíes
18511300-7,Esmeraldas
18511400-8,Ópalos
18511500-9,Cuarzos
18511600-0,Turmalinas
18512000-1,Monedas y medallas
18512100-2,Monedas
18512200-3,Medallas
18513000-8,Artículos de joyería
18513100-9,Perlas
18513200-0,Artículos de orfebrería de oro
18513300-1,Artículos de metales preciosos
18513400-2,Artículos de piedras preciosas o semipreciosas
18513500-3,Artículos de orfebrería de plata
18520000-0,Relojería para uso personal
18521000-7,Relojes de pulsera o de bolsillo
18521100-8,Cristal para relojes de pulsera
18522000-4,Relojes de pulsera
18523000-1,Cronómetros
18530000-3,Regalos y premios
18600000-5,Pieles y artículos de piel
18610000-8,Artículos de piel
18611000-5,Pieles finas
18612000-2,Prendas de vestir de piel
18613000-9,Artículos de piel artificial
18620000-1,Pieles
18800000-7,Calzado
18810000-0,Calzado distinto del calzado deportivo y de protección
18811000-7,Calzado impermeable
18812000-4,Calzado con partes de caucho o de plástico
18812100-5,Sandalias con pala de caucho o de plástico
18812200-6,Botas de caucho
18812300-7,Calzado de vestir con pala de caucho o de plástico
18812400-8,Chancletas
18813000-1,Calzado con pala de cuero
18813100-2,Sandalias
18813200-3,Pantuflas
18813300-4,Calzado de vestir
18814000-8,Calzado con pala de materiales textiles
18815000-5,Botas
18815100-6,Botines
18815200-7,Botas de media caña
18815300-8,Botas altas
18815400-9,Botas de agua de caña alta
18816000-2,Chanclos
18820000-3,Calzado deportivo
18821000-0,Calzado de esquí
18821100-1,Calzado de esquí de fondo
18822000-7,Zapatillas de entrenamiento
18823000-4,"Botas de media montaña, de serraje"
18824000-1,Botas de fútbol
18830000-6,Calzado de protección
18831000-3,Calzado con puntera metálica de protección
18832000-0,Calzado especial
18832100-1,Calzado de vuelo
18840000-9,Partes de calzado
18841000-6,Palas de calzado
18842000-3,Suelas
18843000-0,Tacones
18900000-8,"Artículos de viaje, talabartería, sacos y bolsas"
18910000-1,Artículos de talabartería
18911000-8,Sillas de montar
18912000-5,Fustas
18913000-2,Látigos
18920000-4,Artículos de viaje
18921000-1,Maletas
18923000-5,Bolsas y billeteros
18923100-6,Bolsas pequeñas
18923200-7,Billeteros
18924000-2,Baúles
18925000-9,Portacantimploras y fundas
18925100-0,Portacantimploras
18925200-1,Fundas
18929000-7,Neceseres
18930000-7,Sacos y talegas
18931000-4,Sacos de viaje
18931100-5,Mochilas
18932000-1,Bolsas de deporte
18933000-8,Sacas y bolsas para correo
18933100-9,Valijas
18934000-5,Macutos
18935000-2,Bolsas para ropa sucia
18936000-9,Bolsas textiles
18937000-6,Sacos para embalaje
18937100-7,Bolsas para embalaje
18938000-3,Sobres acolchados
18939000-0,Bolsos de mano
19000000-6,"Piel y textiles, materiales de plástico y caucho"
19100000-7,Cuero
19110000-0,Cuero agamuzado
19120000-3,Cuero de bovinos o equinos
19130000-6,"Cuero de oveja, cabra o cerdo"
19131000-3,Piel de oveja o cordero
19132000-0,Piel de cabra o cabritilla
19133000-7,Cuero de cerdo
19140000-9,"Piel de otros animales, cuero reconstituido y otros cueros"
19141000-6,Cuero de otros animales
19142000-3,Cuero artificial o regenerado
19143000-0,Cuero de imitación
19144000-7,Charol
19160000-5,Correas de reloj
19170000-8,Artículos de cuero usados en maquinaria o aparatos mecánicos
19200000-8,Telas y artículos conexos
19210000-1,Tejidos
19211000-8,Tejidos sintéticos
19211100-9,Tejidos de mezcla
19212000-5,Tejidos de algodón
19212100-6,Cutí
19212200-7,"Tejidos de mezclilla (""denim"")"
19212300-8,Lona
19212310-1,Artículos de lona
19212400-9,Popelina
19212500-0,Cinchas
19212510-3,Cinchas y correas
19220000-4,Tejidos de lana
19230000-7,Tejidos de lino
19231000-4,Ropa blanca
19240000-0,Tejidos especiales
19241000-7,Terciopelo y felpa
19242000-4,Tejido de toalla con bucles
19243000-1,Tejidos para tapicería
19244000-8,Tejidos para cortinas
19245000-5,Tejidos de revestimiento
19250000-3,Tejidos de punto o de ganchillo
19251000-0,Tejidos de punto
19251100-1,Tejidos de terciopelo y felpa
19252000-7,Tejidos de ganchillo
19260000-6,Tela
19270000-9,Materias textiles no tejidas
19280000-2,"Lana, cueros y pieles"
19281000-9,Lana
19282000-6,Pieles de animal
19283000-3,Pieles y plumas de aves
19400000-0,Hilados e hilos textiles
19410000-3,Fibras textiles naturales
19420000-6,Fibras textiles artificiales
19430000-9,Hilados e hilos textiles de fibras naturales
19431000-6,Hilados de seda
19432000-3,Hilados de lana
19433000-0,Hilados de algodón
19434000-7,Hilados de lino
19435000-4,Hilos e hilados de coser de fibras naturales
19435100-5,Hilo de coser
19435200-6,Hilados para tejer
19436000-1,Hilados de fibras textiles vegetales
19440000-2,Hilados o hilos sintéticos
19441000-9,Hilados sintéticos
19442000-6,Hilos sintéticos
19442100-7,Hilos sintéticos de coser
19442200-8,Hilados sintéticos para tejer
19500000-1,Caucho y plásticos
19510000-4,Productos de caucho
19511000-1,"Cámaras de aire, bandas de rodadura y fajas de protección de la cámara de aire, de caucho"
19511100-2,Fajas de protección de la cámara de aire del neumático
19511200-3,Cámaras de aire
19511300-4,Bandas de rodadura de neumáticos
19512000-8,Artículos de caucho sin vulcanizar
19513000-5,Tejidos cauchutados
19513100-6,Tejidos para cuerdas de neumáticos
19513200-7,Cinta adhesiva de tejidos cauchutados
19514000-2,Caucho regenerado
19520000-7,Productos de plástico
19521000-4,Productos de poliestireno
19521100-5,Hojas de poliestireno
19521200-6,Losas de poliestireno
19522000-1,Resinas
19522100-2,Resina epoxi
19522110-5,Tubos de resina epoxi
19600000-2,"Residuos de cuero, textiles, de caucho y de plástico"
19610000-5,Residuos de cuero
19620000-8,Residuos textiles
19630000-1,Residuos de caucho
19640000-4,Sacos y bolsas de polietileno para residuos
19700000-3,Caucho y fibras sintéticos
19710000-6,Caucho sintético
19720000-9,Fibras sintéticas
19721000-6,Borra de filamentos sintéticos
19722000-3,Hilado de alta tenacidad
19723000-0,Hilado texturado sencillo
19724000-7,Monofilamento sintético
19730000-2,Fibras artificiales
19731000-9,Fibras artificiales discontinuas
19732000-6,Polipropileno
19733000-3,Hilado texturado artificial
22000000-0,Impresos y productos relacionados
22100000-1,"Libros impresos, folletos y prospectos"
22110000-4,Libros impresos
22111000-1,Libros escolares
22112000-8,Libros de texto
22113000-5,Libros para biblioteca
22114000-2,"Diccionarios, mapas, libros de música y otros libros"
22114100-3,Diccionarios
22114200-4,Atlas
22114300-5,Mapas
22114310-8,Mapas catastrales
22114311-5,Cianotipos
22114400-6,Música impresa
22114500-7,Enciclopedias
22120000-7,Publicaciones
22121000-4,Publicaciones técnicas
22130000-0,Guías
22140000-3,Prospectos
22150000-6,Folletos
22160000-9,Opúsculos
22200000-2,"Periódicos, revistas especializadas, publicaciones periódicas y revistas"
22210000-5,Periódicos
22211000-2,Revistas especializadas
22211100-3,Boletines oficiales
22212000-9,Publicaciones periódicas
22212100-0,Publicaciones por entregas
22213000-6,Revistas
22300000-3,"Tarjetas postales, tarjetas de felicitación y otro material impreso"
22310000-6,Tarjetas postales
22312000-0,Ilustraciones
22313000-7,Calcomanías
22314000-4,Diseños
22315000-1,Fotografías
22320000-9,Tarjetas de felicitación
22321000-6,Tarjetas de Navidad
22400000-4,"Sellos, talonarios de cheques, billetes de banco, certificados de acciones, material de publicidad comercial, catálogos y manuales"
22410000-7,Sellos
22411000-4,Sellos de Navidad
22412000-1,Sellos nuevos
22413000-8,Sellos de ahorro
22414000-5,Cuadernillos de sellos de correos
22420000-0,Papel timbrado
22430000-3,Billetes de banco
22440000-6,Talonarios de cheques
22450000-9,Impresos infalsificables
22451000-6,Pasaportes
22452000-3,Giros postales
22453000-0,Pegatinas del impuesto de circulación
22454000-7,Permisos de conducir
22455000-4,Carnés de identidad
22455100-5,Pulseras de identificación
22456000-1,Permisos
22457000-8,Tarjetas de entrada
22458000-5,Impresos por encargo
22459000-2,Billetes
22459100-3,Tiras y adhesivos publicitarios
22460000-2,"Material de publicidad comercial, catálogos comerciales y manuales"
22461000-9,Catálogos
22461100-0,"Portalistas, portamenús y soportes análogos"
22462000-6,Material de publicidad
22470000-5,Manuales
